address,latitude,longitude
부산광역시 금정구 구서제1동,35.24941957,129.0934538
부산광역시 해운대구 반여동,35.21479272,129.1228428
부산광역시 동구 범일제2동,35.1328801,129.0638772
부산광역시 강서구 대저중앙로,35.22052462,128.9817062
부산광역시 강서구 대저1동,35.22070839,128.9863003
부산광역시 사상구 대동로,35.14511637,128.9808919
부산광역시 강서구 대저2동,35.18116619,128.9479586
부산광역시 강서구 대저2동,35.17875288,128.9490828
부산광역시 강서구 대저2동,35.16998689,128.9490529
부산광역시 강서구 대저2동,35.17255724,128.9447258
부산광역시 강서구 제도로,35.18192667,128.9303101
부산광역시 강서구 대저1동,35.19529954,128.9440641
부산광역시 강서구 강동동,35.21455583,128.9415777
부산광역시 강서구 강동동,35.21049504,128.93846
부산광역시 강서구 미음동,35.15013957,128.8658672
부산광역시 강서구 범방2로,35.14256779,128.8843761
부산광역시 강서구 기달2로,35.13834492,128.8749786
부산광역시 강서구 지사동,35.15210504,128.8266571
부산광역시 강서구 과학산단2로,35.15278832,128.8164472
부산광역시 강서구 화전산단1로,35.1018561,128.8730129
부산광역시 강서구 화전동,35.10675601,128.8772963
부산광역시 강서구 녹산동,35.0866938,128.868295
부산광역시 강서구 녹산동,35.08667228,128.8605989
부산광역시 강서구 신호동,35.09392728,128.8702782
